source_primary,source_secondary,target
CHEBI:2676,CHEBI:48947,MONDO:0005230
CHEBI:140628,CHEBI:46081,MONDO:0002026
CHEBI:5134,CHEBI:5147,MONDO:0004979
CHEBI:9654,CHEBI:47381,UMLS:C0234251
CHEBI:32178,CHEBI:36560,MONDO:0002406
CHEBI:74460,CHEBI:17650,UMLS:C0033775
CHEBI:2549,CHEBI:5551,MONDO:0004979
CHEBI:31397,UNII:9810NUL4D1,MONDO:0004979
CHEBI:68575,CHEBI:94449,MONDO:0005002
CHEBI:2950,CHEBI:5134,MONDO:0005091
CHEBI:64064,CHEBI:5134,MONDO:0005002
CHEBI:5147,CHEBI:94449,MONDO:0005002
CHEBI:135222,CHEBI:8093,MONDO:0005441
CHEBI:16469,CHEBI:231594,HP:0000869
CHEBI:94714,CHEBI:28939,MONDO:0100470
CHEBI:46195,CHEBI:76128,NCIT:C3244
CHEBI:16914,CHEBI:134761,NCIT:C3244
CHEBI:5100,CHEBI:2682,MONDO:0042233
CHEBI:31498,UNII:6V88E24N5T,MONDO:0004966
CHEBI:41879,CHEBI:17698,MONDO:0005041
CHEBI:81862,CHEBI:17548,MONDO:0007186
CHEBI:575568,CHEBI:2955,MONDO:0005661
CHEBI:18258,CHEBI:18332,MONDO:0006742
CHEBI:16914,CHEBI:34764,UMLS:C5441647
DRUGBANK:DB10651,CHEBI:16914,UMLS:C0240382
CHEBI:9620,CHEBI:9661,MONDO:0004678
CHEBI:7465,CHEBI:3219,MONDO:0011122
CHEBI:52010,CHEBI:28674,MONDO:0005551
CHEBI:27436,CHEBI:18145,UMLS:C1963961
CHEBI:4636,CHEBI:93363,MONDO:0005551
CHEBI:2668,CHEBI:39548,MONDO:0006021
CHEBI:9667,CHEBI:47381,MONDO:0006723
CHEBI:95178,CHEBI:3611,MONDO:0019610
UMLS:C1172157,CHEBI:44185,MONDO:0011849
UMLS:C0717758,CHEBI:44185,MONDO:0011849
CHEBI:8378,CHEBI:7507,UMLS:C4551678
CHEBI:3077,PUBCHEM.COMPOUND:3467,UMLS:C4551678
CHEBI:12777,CHEBI:18145,MONDO:0002467
CHEBI:16914,CHEBI:3001,UMLS:C0406326
CHEBI:77032,CHEBI:2549,HP:0031247
CHEBI:8455,CHEBI:575568,MONDO:0005920
CHEBI:41500,UMLS:C0075857,MONDO:0004976
CHEBI:52010,CHEBI:9667,MONDO:0005277
CHEBI:28674,CHEBI:31625,UMLS:C4551678
CHEBI:28864,CHEBI:41879,UMLS:C4551678
CHEBI:28864,CHEBI:47381,UMLS:C4551678
UMLS:C0041499,CHEBI:41872,MONDO:0006723
CHEBI:3697,CHEBI:190509,UMLS:C1112209
CHEBI:52010,CHEBI:81717,MONDO:0005324
CHEBI:28674,CHEBI:31625,MONDO:0004768
CHEBI:46195,CHEBI:52010,MONDO:0005709
CHEBI:2549,CHEBI:5551,MONDO:0850282
PUBCHEM.COMPOUND:11431811,CHEBI:5147,MONDO:0001358
CHEBI:85155,CHEBI:85161,EFO:0006911
CHEBI:34764,CHEBI:7507,UMLS:C0263233
CHEBI:94557,CHEBI:47381,UMLS:C0740418
CHEBI:6784,CHEBI:7627,MONDO:0005133
CHEBI:42355,CHEBI:62984,MONDO:0011438
PUBCHEM.COMPOUND:657309,CHEBI:149226,MONDO:0850283
CHEBI:3764,CHEBI:17650,MONDO:0001405
UMLS:C2698152,CHEBI:28748,MONDO:0018078
CHEBI:190509,CHEBI:3697,MONDO:0100338
CHEBI:3508,CHEBI:29377,MONDO:0100338
DRUGBANK:DB11058,CHEBI:36560,UMLS:C0043345
CHEBI:27470,CHEBI:75832,MONDO:0001357
UMLS:C0041499,CHEBI:93363,UMLS:C1699100
CHEBI:5130,CHEBI:94557,UMLS:C0423673
CHEBI:5778,CHEBI:5959,MONDO:0005468
CHEBI:4784,CHEBI:7582,MONDO:0005468
CHEBI:585948,CHEBI:8774,UniProtKB:A0A8D1N440
UNII:UM5219H89V,CHEBI:27470,UMLS:C1623040
CHEBI:9434,CHEBI:2668,MONDO:0005468
CHEBI:7507,CHEBI:34764,UMLS:C1720798
CHEBI:18248,CHEBI:18248,UMLS:C0240066
CHEBI:64019,CHEBI:9927,MONDO:0005044
CHEBI:15354,CHEBI:27732,UMLS:C0852402
CHEBI:5778,CHEBI:4814,MONDO:0005044
CHEBI:5778,CHEBI:6541,MONDO:0005044
CHEBI:3311,UNII:472LWJ3Y9N,MONDO:0100471
CHEBI:134916,CHEBI:46195,HP:0002487
CHEBI:94557,CHEBI:47381,HP:0002487
CHEBI:94557,CHEBI:47381,HP:0002487
CHEBI:17548,CHEBI:81862,MONDO:0007186
CHEBI:7789,CHEBI:6717,HP:0002487
CHEBI:6375,CHEBI:2676,MONDO:0005113
CHEBI:3077,CHEBI:63845,HP:0100534
CHEBI:135096,CHEBI:16914,HP:0003419
CHEBI:145371,UNII:8L7891MRB6,MONDO:0005012
CHEBI:90851,CHEBI:63637,MONDO:0005012
DRUGBANK:DB15889,DRUGBANK:DB15860,MONDO:0002203
CHEBI:102484,CHEBI:8673,MONDO:0005989
UMLS:C2353893,CHEBI:44185,MONDO:0008383
UMLS:C1367202,UMLS:C2346820,UMLS:C0278987
UNII:4A2Y23XK11,UNII:0JSR7Z0NB6,UMLS:C0278987
CHEBI:9332,CHEBI:45924,MONDO:0019345
CHEBI:2676,CHEBI:48947,MONDO:0000750
CHEBI:27306,CHEBI:17439,HP:0100503
UNII:3JXF0Z0XOI,CHEBI:33353,MONDO:0005098
CHEBI:36773,CHEBI:25187,HP:0001742
CHEBI:6888,CHEBI:6456,MONDO:0002183
CHEBI:16336,CHEBI:6456,MONDO:0001835
DRUGBANK:DB14161,CHEBI:16347,EFO:0004338
CHEBI:82977,CHEBI:85083,UMLS:C4049395
CHEBI:2549,CHEBI:5106,MONDO:0003781
CHEBI:75832,CHEBI:27470,MONDO:0001860
CHEBI:16469,CHEBI:70708,HP:0000132
CHEBI:47977,CHEBI:26710,MONDO:0005416
CHEBI:2676,CHEBI:48947,UMLS:C0851989
UMLS:C3641122,UMLS:C1948073,MONDO:0002691
CHEBI:164200,CHEBI:34393,UMLS:C1302752
PUBCHEM.COMPOUND:11431811,CHEBI:5147,MONDO:0004849
CHEBI:7507,CHEBI:205919,UMLS:C1302752
CHEBI:74460,CHEBI:17650,MONDO:0006570
CHEBI:135096,CHEBI:16914,HP:0012513
CHEBI:27306,CHEBI:18405,MONDO:0004574
UNII:G8RGG88B68,CHEBI:63580,MONDO:0005354
CHEBI:94557,CHEBI:44445,NCIT:C34887
CHEBI:94557,CHEBI:44445,NCIT:C34887
CHEBI:5130,CHEBI:94557,NCIT:C34887
CHEBI:7507,UMLS:C0004599,UMLS:C0406519
CHEBI:4754,CHEBI:9667,MONDO:0005609
UMLS:C0700346,UNII:5PKM8P0G5I,MONDO:0002243
CHEBI:31623,CHEBI:7507,MONDO:0002137
CHEBI:17568,CHEBI:32188,MONDO:0021040
CHEBI:17568,CHEBI:32188,MONDO:0007254
CHEBI:134731,CHEBI:6801,MONDO:0005148
UMLS:C2346820,UMLS:C3827149,MONDO:0005012
CHEBI:82720,CHEBI:6801,MONDO:0005148
CHEBI:31498,CHEBI:9667,UMLS:C0011974
CHEBI:7507,CHEBI:34764,MONDO:0019558
CHEBI:9667,CHEBI:31498,UMLS:C0011974
DRUGBANK:DB15823,CHEBI:27974,MONDO:0002769
UNII:PUE0TO3XDR,CHEBI:10033,HP:0002625
CHEBI:74460,CHEBI:17650,MONDO:0004980
UMLS:C2346820,UMLS:C1367202,MONDO:0005580
CHEBI:3614,CHEBI:6456,MONDO:0002508
CHEBI:76128,CHEBI:94557,MONDO:0005578
CHEBI:3374,CHEBI:44445,MONDO:0005578
CHEBI:47381,CHEBI:8768,MONDO:0005578
CHEBI:36560,CHEBI:4636,HP:0000989
CHEBI:164200,CHEBI:33118,MONDO:0005230
CHEBI:15640,CHEBI:29034,MONDO:0001357
CHEBI:93363,CHEBI:91591,MONDO:0003799
CHEBI:16236,CHEBI:25187,MONDO:0005230
CHEBI:52010,CHEBI:9667,HP:0000989
CHEBI:135523,CHEBI:15354,HP:0012531
CHEBI:135780,CHEBI:31498,HP:0012531
CHEBI:30746,CHEBI:34981,HP:0012531
CHEBI:94557,CHEBI:47381,HP:0012531
CHEBI:31415,CHEBI:28674,HP:0030953
UMLS:C0041499,CHEBI:116735,MONDO:0002258
CHEBI:94563,CHEBI:32914,MONDO:0002258
CHEBI:87184,CHEBI:3764,MONDO:0024268
CHEBI:7507,CHEBI:3001,UMLS:C0234913
CHEBI:8768,CHEBI:31515,MONDO:0006896
CHEBI:3614,CHEBI:94563,NCIT:C78325
CHEBI:190513,CHEBI:27300,MONDO:0005298
CHEBI:8028,CHEBI:2666,HP:0000713
CHEBI:8093,CHEBI:52010,HP:0025095
CHEBI:7476,CHEBI:50275,MONDO:0005578
CHEBI:85083,CHEBI:85089,UMLS:C4049431
CHEBI:8461,CHEBI:28918,MONDO:0100053
CHEBI:52010,CHEBI:8093,HP:0025095
CHEBI:3614,CHEBI:6456,HP:0033050
CHEBI:27594,CHEBI:31498,HP:0032155
CHEBI:39548,CHEBI:2668,MONDO:0007750
CHEBI:94557,CHEBI:4909,MONDO:0043512
CHEBI:6129,CHEBI:8093,HP:0200026
DRUGBANK:DB10331,DRUGBANK:DB10320,MONDO:0005114
DRUGBANK:DB13195,CHEBI:16914,UMLS:C0543612
CHEBI:3077,CHEBI:63845,MONDO:0001465
CHEBI:41879,CHEBI:17698,MONDO:0005328
CHEBI:3374,CHEBI:44445,MONDO:0005554
CHEBI:85083,CHEBI:85089,MONDO:0005155
CHEBI:135612,CHEBI:59773,MONDO:0015340
CHEBI:27470,CHEBI:75832,MONDO:0000755
CHEBI:27470,CHEBI:75832,MONDO:0000755
CHEBI:48947,CHEBI:2676,MONDO:0005961
PUBCHEM.COMPOUND:261004,CHEBI:15367,UMLS:C0796611
CHEBI:31623,CHEBI:100241,MONDO:0005892
CHEBI:17568,CHEBI:32188,MONDO:0005411
CHEBI:145499,UNII:19FUJ2C58T,MONDO:0004975
UMLS:C2346820,UMLS:C1367202,CHEBI:5971
CHEBI:6801,CHEBI:85078,MONDO:0005300
PUBCHEM.COMPOUND:45357473,CHEBI:27436,MONDO:0006004
CHEBI:32139,CHEBI:28741,UMLS:C0235324
CHEBI:17026,CHEBI:16469,MONDO:0006004
CHEBI:3215,CHEBI:6741,NCIT:C34887
CHEBI:2618,CHEBI:15765,MONDO:0004901
CHEBI:93363,CHEBI:104017,NCIT:C50572
CHEBI:31515,CHEBI:6375,UMLS:C0267167
CHEBI:6456,CHEBI:7476,UMLS:C0234251
CHEBI:135581,CHEBI:6456,UMLS:C0234251
UNII:K6BUU8J72P,UNII:2WU922TK3L,DRUGBANK:DB11066
CHEBI:68575,CHEBI:6970,MONDO:0015340
CHEBI:85089,CHEBI:85083,MONDO:0005155
UNII:UM5219H89V,CHEBI:27470,UMLS:C1623040
CHEBI:45924,CHEBI:9332,MONDO:0003778
UMLS:C0657912,CHEBI:28115,MONDO:0020696
UMLS:C0657912,CHEBI:17439,MONDO:0020696
CHEBI:31625,CHEBI:28674,MONDO:0003085
CHEBI:39548,CHEBI:15365,EFO:0009573
NCBIGene:1493,CHEBI:8764,NCIT:C79122
UMLS:C2346820,UMLS:C1367202,CHEBI:50924
CHEBI:53778,CHEBI:2524,UMLS:C1112108
CHEBI:37941,CHEBI:15365,CHEBI:165446
CHEBI:7465,CHEBI:17303,UniProtKB:A0A8D0SEZ5
UMLS:C2722896,UMLS:C0301812,MONDO:0001684
UMLS:C3827082,UMLS:C1699394,UMLS:C0242656
CHEBI:3207,CHEBI:2549,MONDO:0004979
UMLS:C2346801,UMLS:C1699394,MONDO:0005272
CHEBI:47426,CHEBI:9671,HP:0000969
CHEBI:53778,CHEBI:2524,HP:0000505
CHEBI:28177,CHEBI:17234,MONDO:0001358
CHEBI:31536,CHEBI:90926,UniProtKB:A0A8D1B937
CHEBI:4902,CHEBI:16714,HP:0012735
CHEBI:4902,CHEBI:16714,HP:0012735
CHEBI:2549,CHEBI:5551,HP:0012735
UMLS:C3896806,CHEBI:66910,UMLS:C5395609
UMLS:C2346820,UMLS:C1367202,EFO:0009573
UMLS:C0023607,CHEBI:81569,UMLS:C0404572
UMLS:C0796392,CHEBI:28748,MONDO:0001944
UNII:LIA7Z4002P,CHEBI:15377,UMLS:C5391440
CHEBI:132967,CHEBI:132975,EFO:0004338
CHEBI:85089,CHEBI:85083,MONDO:0005155
CHEBI:48947,CHEBI:2676,MONDO:0100338
CHEBI:3508,CHEBI:85984,MONDO:0018944
CHEBI:85164,CHEBI:4672,MONDO:0005233
CHEBI:16469,CHEBI:231594,MONDO:0008170
CHEBI:75832,CHEBI:18385,UMLS:C1623040
CHEBI:4670,CHEBI:17234,MONDO:0005009
CHEBI:135611,CHEBI:17824,UMLS:C0178808
CHEBI:17234,CHEBI:4670,MONDO:0006716
CHEBI:91834,CHEBI:28918,MONDO:0005276
CHEBI:10304,CHEBI:6759,MONDO:0005276
UMLS:C0772394,CHEBI:15365,MONDO:0005542
CHEBI:9667,CHEBI:17630,HP:0000989
CHEBI:17650,CHEBI:6923,MONDO:0021201
CHEBI:45924,CHEBI:9332,MONDO:0100338
CHEBI:8378,UNII:X8XI70B5Z6,MONDO:0005113
CHEBI:29007,CHEBI:6456,MONDO:0005113
CHEBI:48947,CHEBI:472657,MONDO:0003529
CHEBI:4636,CHEBI:8093,HP:0012735
CHEBI:39548,CHEBI:15365,MONDO:0005439
CHEBI:135598,CHEBI:32139,MONDO:0006716
CHEBI:7459,CHEBI:182080,UMLS:C0278139
CHEBI:7459,CHEBI:182080,UMLS:C0278139
CHEBI:15640,CHEBI:29034,HP:0001895
CHEBI:28864,CHEBI:41879,MONDO:0043885
CHEBI:28864,CHEBI:41879,MONDO:0043885
CHEBI:135107,CHEBI:27902,MONDO:0043885
CHEBI:5123,CHEBI:7640,MONDO:0002009
CHEBI:46195,PUBCHEM.COMPOUND:160883,MONDO:0002118
CHEBI:16199,CHEBI:17650,MONDO:0002406
CHEBI:5855,CHEBI:4975,MONDO:0008383
DRUGBANK:DB15654,DRUGBANK:DB17091,MONDO:0100130
CHEBI:3510,CHEBI:48947,MONDO:0005297
CHEBI:81862,CHEBI:64733,MONDO:0003019
CHEBI:9321,CHEBI:29007,MONDO:0005113
CHEBI:6970,CHEBI:9448,MONDO:0002406
CHEBI:134753,CHEBI:28939,HP:0040334
DRUGBANK:DB10651,CHEBI:16914,HP:0002027
CHEBI:46195,PUBCHEM.COMPOUND:160883,HP:0002239
CHEBI:31623,UNII:WA1RT89G9X,UMLS:C4286025
CHEBI:4636,CHEBI:46195,MONDO:0005709
CHEBI:29385,CHEBI:16914,MONDO:0011438
UNII:23CA79S88F,UMLS:C0025241,MONDO:0018078
UNII:4A2Y23XK11,UNII:0JSR7Z0NB6,MONDO:0005233
UNII:39IS23Q1EW,CHEBI:50131,MONDO:0018881
UMLS:C0010592,CHEBI:44185,MONDO:0008383
CHEBI:76128,CHEBI:28939,HP:0002027
CHEBI:7789,CHEBI:5855,HP:0002027
CHEBI:94557,CHEBI:5855,HP:0002027
CHEBI:28125,CHEBI:84883,CHEBI:17855
UNII:SST07NLK7J,CHEBI:3309,CHEBI:6446
CHEBI:28918,CHEBI:8207,MONDO:0005338
CHEBI:76607,CHEBI:71940,MONDO:0016698
UNII:8NZ41MIK1O,CHEBI:10033,MONDO:0005279
DRUGBANK:DB10771,DRUGBANK:DB10772,MONDO:0021245
CHEBI:15640,CHEBI:29034,MONDO:0001860
UMLS:C3827082,UMLS:C1699394,UMLS:C5235951
UNII:DPT0O3T46P,UNII:DLE8519RWM,MONDO:0005221
CHEBI:45924,CHEBI:9332,MONDO:0015766
CHEBI:38545,CHEBI:31932,MONDO:0002928
CHEBI:4631,DRUGBANK:DB14586,MONDO:0000945
CHEBI:9667,CHEBI:29013,MONDO:0005271
CHEBI:145994,CHEBI:95341,UMLS:C0748061
UMLS:C5432264,UMLS:C5432263,UNII:JSV288Q5CV
CHEBI:145430,CHEBI:2038,UMLS:C0796611
CHEBI:3077,CHEBI:63845,UMLS:C4285790
UNII:8NZ41MIK1O,CHEBI:15365,MONDO:0024644
CHEBI:46195,CHEBI:7789,UMLS:C0043145
UNII:B1QE5P712K,CHEBI:34674,NCIT:C187286
CHEBI:75722,CHEBI:46195,NCIT:C27003
CHEBI:5134,CHEBI:64064,MONDO:0004979
CHEBI:85083,CHEBI:85089,UMLS:C4049392
CHEBI:8093,CHEBI:33118,NCIT:C187286
CHEBI:5134,CHEBI:5147,MONDO:0004979
CHEBI:82700,PUBCHEM.COMPOUND:11431811,MONDO:0005002
CHEBI:31397,UNII:9810NUL4D1,MONDO:0005002
PUBCHEM.COMPOUND:11431811,CHEBI:3207,MONDO:0005002
CHEBI:3207,CHEBI:5147,MONDO:0005002
CHEBI:5147,CHEBI:65346,MONDO:0005002
CHEBI:74460,CHEBI:17650,HP:0033564
CHEBI:32914,CHEBI:6456,MONDO:0006723
CHEBI:31498,UNII:6V88E24N5T,MONDO:0005412
CHEBI:135624,CHEBI:31739,MONDO:0006723
CHEBI:51209,CHEBI:4470,UMLS:C0152029
UMLS:C0083858,UMLS:C2724167,NCBITaxon:337042
CHEBI:9667,CHEBI:4392,MONDO:0005276
CHEBI:52010,CHEBI:9667,MONDO:0100470
CHEBI:8232,CHEBI:9421,UMLS:C0003044
CHEBI:27300,CHEBI:12777,MONDO:0007016
CHEBI:9667,CHEBI:7507,MONDO:0004795
CHEBI:3309,CHEBI:81717,HP:0002901
CHEBI:135096,CHEBI:16914,HP:0003326
CHEBI:48947,CHEBI:472657,HP:0002783
CHEBI:135180,CHEBI:7660,MONDO:0005316
CHEBI:92833,CHEBI:15765,MONDO:0014231
CHEBI:17439,CHEBI:31607,MONDO:0008228
CHEBI:73237,CHEBI:5551,UMLS:C0851355
CHEBI:30746,CHEBI:16914,MONDO:0004678
CHEBI:49040,CHEBI:149601,MONDO:0007750
CHEBI:7507,UMLS:C0004599,UMLS:C0038941
CHEBI:84050,CHEBI:28748,MONDO:0008170
CHEBI:15354,CHEBI:135523,HP:0000155
UMLS:C0010592,CHEBI:2948,UMLS:C0238217
CHEBI:7507,CHEBI:3001,UMLS:C0086196
CHEBI:6456,CHEBI:17754,MONDO:0004872
CHEBI:8232,CHEBI:9421,MONDO:0000922
UNII:SST07NLK7J,CHEBI:3309,UMLS:C0016325
CHEBI:94563,CHEBI:32914,MONDO:0006723
CHEBI:94563,CHEBI:32914,MONDO:0006723
CHEBI:16382,CHEBI:17606,UMLS:C0043250
UNII:472LWJ3Y9N,CHEBI:22984,MONDO:0001068
UNII:FML8G1U0Y3,CHEBI:33130,HP:0002027
CHEBI:31397,PUBCHEM.COMPOUND:11431811,MONDO:0001358
DRUGBANK:DB13195,CHEBI:16914,MONDO:0008638
CHEBI:28939,CHEBI:134753,MONDO:0005961
CHEBI:29385,CHEBI:16914,MONDO:0011438
CHEBI:46195,CHEBI:4909,MONDO:0005393
UNII:YH9K692U9S,CHEBI:31623,MONDO:0005961
PUBCHEM.COMPOUND:6452753,PUBCHEM.COMPOUND:24479,MONDO:0019019
CHEBI:5551,CHEBI:52010,MONDO:0004784
CHEBI:17306,CHEBI:18248,MONDO:0001357
CHEBI:18248,CHEBI:22652,MONDO:0001357
UNII:RUU8G67GQM,CHEBI:16914,NCIT:C50579
DRUGBANK:DB14432,UMLS:C5187834,MONDO:0005812
CHEBI:18248,CHEBI:34674,CHEBI:18248
CHEBI:8024,CHEBI:2668,CHEBI:8024
CHEBI:8024,CHEBI:5893,CHEBI:8024
CHEBI:3654,CHEBI:68845,HP:0002757
CHEBI:46195,CHEBI:7789,UMLS:C0038045
CHEBI:94557,CHEBI:44445,UMLS:C1611174
CHEBI:63611,CHEBI:6129,UMLS:C0392618
CHEBI:27363,CHEBI:18248,UMLS:C0240066
CHEBI:17115,CHEBI:75832,UMLS:C0240066
CHEBI:5778,CHEBI:8499,MONDO:0005044
CHEBI:64019,CHEBI:9927,MONDO:0005044
CHEBI:9927,CHEBI:601027,MONDO:0005044
CHEBI:8228,CHEBI:30314,UMLS:C0271685
CHEBI:88258,CHEBI:45924,UMLS:C2363723
CHEBI:140628,CHEBI:6076,MONDO:0002154
CHEBI:2676,CHEBI:48947,HP:0000371
CHEBI:3510,CHEBI:48947,HP:0000371
CHEBI:8093,CHEBI:94559,MONDO:0005642
CHEBI:16199,CHEBI:30769,MONDO:0005113
CHEBI:4534,CHEBI:92712,UMLS:C0947873
CHEBI:31625,CHEBI:28674,MONDO:0005642
UMLS:C1367202,UMLS:C2346820,UMLS:C0278517
CHEBI:75045,CHEBI:75998,MONDO:0005012
UMLS:C1367202,UMLS:C2346820,MONDO:0005012
CHEBI:49603,CHEBI:31348,UMLS:C0278488
CHEBI:94563,CHEBI:32914,UMLS:C0877743
CHEBI:10082,CHEBI:27373,HP:0001742
CHEBI:8093,CHEBI:3398,HP:0001742
CHEBI:29228,CHEBI:28741,MONDO:0001041
CHEBI:51209,CHEBI:94559,MONDO:0005324
CHEBI:48947,CHEBI:472657,MONDO:0001039
CHEBI:15428,CHEBI:15365,MONDO:0005098
CHEBI:93363,CHEBI:15407,HP:0001742
CHEBI:8093,CHEBI:3561,HP:0001742
CHEBI:28591,CHEBI:4917,MONDO:0001752
CHEBI:2549,CHEBI:5551,MONDO:0003781
CHEBI:6741,CHEBI:48273,MONDO:0005475
CHEBI:52010,CHEBI:9667,MONDO:0700226
CHEBI:190509,CHEBI:3697,MONDO:0100338
CHEBI:71940,CHEBI:5062,MONDO:0021259
PUBCHEM.COMPOUND:657309,CHEBI:8746,MONDO:0001358
CHEBI:5088,CHEBI:135538,HP:0000017
CHEBI:45409,CHEBI:31781,MONDO:0005109
CHEBI:34764,CHEBI:7507,MONDO:0021340
CHEBI:39548,CHEBI:2668,MONDO:0018328
UMLS:C2346820,UMLS:C1367202,MONDO:0002691
CHEBI:39548,CHEBI:2668,MONDO:0018328
CHEBI:31348,CHEBI:72564,MONDO:0005893
CHEBI:135136,CHEBI:6909,MONDO:0005644
DRUGBANK:DB09877,UMLS:C0305062,MONDO:0005504
CHEBI:74460,CHEBI:17650,MONDO:0006570
UNII:G8RGG88B68,CHEBI:63580,MONDO:0005354
CHEBI:41872,CHEBI:135611,HP:0100812
CHEBI:2676,CHEBI:48947,MONDO:0002186
CHEBI:16997,CHEBI:30742,MONDO:0006733
CHEBI:135285,CHEBI:6801,MONDO:0005148
UMLS:C1122087,CHEBI:44185,MONDO:0008383
CHEBI:40237,CHEBI:6801,MONDO:0005148
CHEBI:31623,CHEBI:6456,MONDO:0002137
CHEBI:90851,CHEBI:63637,MONDO:0005012
CHEBI:135581,CHEBI:16914,MONDO:0002137
CHEBI:8228,CHEBI:5383,MONDO:0005148
CHEBI:8228,CHEBI:72323,MONDO:0005148
CHEBI:82720,CHEBI:68610,MONDO:0005148
UNII:SST07NLK7J,CHEBI:3309,HP:0002153
CHEBI:16742,CHEBI:17712,MONDO:0005154
CHEBI:17650,CHEBI:6923,UMLS:C0011974
CHEBI:38545,CHEBI:9927,MONDO:0004995
CHEBI:16914,CHEBI:34764,MONDO:0019558
CHEBI:149601,CHEBI:49040,MONDO:0005439
CHEBI:38545,CHEBI:15365,MONDO:0005439
CHEBI:15428,CHEBI:15365,HP:0002625
CHEBI:9468,CHEBI:116735,UMLS:C0006435
MESH:C558471,UMLS:C1699394,MONDO:0003778
CHEBI:5855,CHEBI:4975,MONDO:0005578
CHEBI:74460,CHEBI:34764,MONDO:0021935
CHEBI:16469,CHEBI:231594,HP:0000858
CHEBI:74460,CHEBI:17650,MONDO:0006570
CHEBI:16469,CHEBI:17026,HP:0000858
DRUGBANK:DB10989,UMLS:C0078221,MONDO:0005619
CHEBI:52010,CHEBI:8093,MONDO:0001793
CHEBI:22652,CHEBI:46195,HP:0001945
CHEBI:15354,CHEBI:27732,HP:0001945
CHEBI:3077,PUBCHEM.COMPOUND:3467,HP:0000989
CHEBI:15365,CHEBI:51209,HP:0001945
CHEBI:63925,UNII:W6I5QDT7QI,MONDO:0006875
CHEBI:94563,CHEBI:32914,HP:0012531
CHEBI:5855,PUBCHEM.COMPOUND:160883,HP:0012531
CHEBI:5130,CHEBI:94557,HP:0012531
CHEBI:16714,CHEBI:47381,HP:0012531
CHEBI:52010,CHEBI:28674,MONDO:0001534
CHEBI:8426,CHEBI:28971,UMLS:C0235416
CHEBI:17234,CHEBI:6456,MONDO:0007263
CHEBI:41872,CHEBI:22652,MONDO:0002258
CHEBI:48213,CHEBI:48220,MONDO:0002258
CHEBI:46195,CHEBI:51209,MONDO:0005709
CHEBI:94563,CHEBI:32914,MONDO:0002258
CHEBI:116735,CHEBI:3614,MONDO:0002258
CHEBI:5855,CHEBI:16714,HP:0012531
CHEBI:27732,CHEBI:5855,HP:0012531
CHEBI:31498,DRUGBANK:DB11058,UMLS:C0549202
CHEBI:41872,CHEBI:135611,UMLS:C0729771
CHEBI:135222,CHEBI:8093,MONDO:0005709
CHEBI:31623,PUBCHEM.COMPOUND:3467,UMLS:C0863090
CHEBI:7507,CHEBI:8378,UMLS:C0863090
CHEBI:4754,CHEBI:9667,UMLS:C0863090
